userName,content,score,thumbsUpCount,reviewCreatedVersion,at,cleaned_content,sentiment_score,sentiment_label,review_length
art obsession,It's absolutely great. I started today and I already know quite a bit of japanise! So happy with it.,5,0,6.27.4,2025-04-28 10:01:50,its absolutely great i started today and i already know quite a bit of japanise so happy with it,0.8788,positive,19
Solange Henry,This app is very informative and just the best for learning a new language.....the attitude from Lilliana always cracks me up 😅 download now!!!,5,0,6.27.4,2025-04-28 09:59:44,this app is very informative and just the best for learning a new languagethe attitude from lilliana always cracks me up download now,0.6369,positive,23
Urmila Beniwal,Urmila Beniwal the app is very amazing,5,0,6.27.4,2025-04-28 09:59:33,urmila beniwal the app is very amazing,0.624,positive,7
이지현,A perfect app for language learners!,5,0,6.27.4,2025-04-28 09:59:18,a perfect app for language learners,0.5719,positive,6
MOHAMMED AMMAR HUSSAIN,WOW !,5,0,,2025-04-28 09:57:35,wow,0.5859,positive,1
Kommu Praneeth,too much ads! Irritating,3,0,6.25.4,2025-04-28 09:57:35,too much ads irritating,-0.4588,negative,4
Chet Ram,good 👍👍❤☺,5,0,,2025-04-28 09:56:47,good,0.4404,positive,1
Favour Monday,splendidly awesome app,5,0,6.27.4,2025-04-28 09:56:27,splendidly awesome app,0.802,positive,3
Maria Castil,"TOO MANY ADS❗ This app should focus more on learning the language, please lessen the ads pop up. There are so many incorrect and unclear audio too (I chose hangul/korean lessons) so it gets really messed up sometimes. One time i woke up at 2am and checked my phone to see my duolingo icon on angry mode like wt?????? thats so creepy PLEASE PLEASE PLEASE stop doing that, it scared me to death 😭😭😭",1,2,,2025-04-28 09:56:02,too many ads this app should focus more on learning the language please lessen the ads pop up there are so many incorrect and unclear audio too i chose hangulkorean lessons so it gets really messed up sometimes one time i woke up at 2am and checked my phone to see my duolingo icon on angry mode like wt thats so creepy please please please stop doing that it scared me to death,-0.7425,negative,73
phạm Hiếu,Very Great!,5,0,5.141.7,2025-04-28 09:55:54,very great,0.659,positive,2
Andre Gauvin,"for a free app it can't be beat, instead of playing a game you can play this and learn a new language and of you want to fast track it, the subscriptions is more than reasonable. that was my 5 star, now it's 2 because the app locked up and won't open other than to a solid green screen that says duolingo. deleted it, re-downloaded and now I can't log in, even the online version won't allow log in. Going to lose my streak by no fault of my own.",2,0,6.27.4,2025-04-28 09:55:48,for a free app it cant be beat instead of playing a game you can play this and learn a new language and of you want to fast track it the subscriptions is more than reasonable that was my 5 star now its 2 because the app locked up and wont open other than to a solid green screen that says duolingo deleted it redownloaded and now i cant log in even the online version wont allow log in going to lose my streak by no fault of my own,0.0346,neutral,90
Geeta Devi,this app is very useful i love it so much,4,0,6.26.2,2025-04-28 09:54:45,this app is very useful i love it so much,0.8258,positive,10
Mayuri Shevate,it's cool and amazing app,5,0,6.27.4,2025-04-28 09:53:33,its cool and amazing app,0.7269,positive,5
Vasudha Vasudha,amazing app but they give us limited hearts and if we don't have enough hearts we have to start over the whole lesson which is frustrating,4,0,6.27.4,2025-04-28 09:53:24,amazing app but they give us limited hearts and if we dont have enough hearts we have to start over the whole lesson which is frustrating,-0.5859,negative,26
Manish Sukhadiya,good,5,0,6.27.4,2025-04-28 09:52:33,good,0.4404,positive,1
Devri Ansyah,worth it,5,0,6.27.4,2025-04-28 09:50:38,worth it,0.2263,positive,2
Richelle Tong Zhe Qing,I love Duolingo I am addicted to it,5,0,6.27.4,2025-04-28 09:49:53,i love duolingo i am addicted to it,0.6369,positive,8
Aslam Joiya,I absolutely love this app. its makes me learn so easy and fast :) <3,5,0,6.27.4,2025-04-28 09:49:36,i absolutely love this app its makes me learn so easy and fast 3,0.8494,positive,14
jayaraj nadarajan,Dulingo is a fun language learning app. This app help us to learn any language easily and fastly. I am enjoying and learning Italian well. This is the best language learning app I ever seen. All should try this app.,5,0,6.27.4,2025-04-28 09:49:08,dulingo is a fun language learning app this app help us to learn any language easily and fastly i am enjoying and learning italian well this is the best language learning app i ever seen all should try this app,0.9524,positive,40
Sifen Minasie,it teaches in a very good way and you can log in to your account any time even after a year i really enjoy learning on this app i appreciate it,5,0,5.121.10,2025-04-28 09:48:29,it teaches in a very good way and you can log in to your account any time even after a year i really enjoy learning on this app i appreciate it,0.855,positive,31
Misokuhle Ngcobo,It really do the best and I really and stand,5,0,,2025-04-28 09:47:50,it really do the best and i really and stand,0.6666,positive,10
Raju Raju,good,5,0,6.27.4,2025-04-28 09:46:39,good,0.4404,positive,1
Varughese,I am stuck in unit 1 lesson 1. And I really hate this. I started in learning from the scratch but it get repeated. Duo please solve this,1,0,,2025-04-28 09:45:53,i am stuck in unit 1 lesson 1 and i really hate this i started in learning from the scratch but it get repeated duo please solve this,0.2854,positive,28
Michael Salter,"Easy to use, good learning tool.",5,0,6.27.4,2025-04-28 09:45:49,easy to use good learning tool,0.7003,positive,6
Muthu Kumar,This is very encouraging for learning a language no ad problems,4,0,5.141.7,2025-04-28 09:44:01,this is very encouraging for learning a language no ad problems,-0.0534,negative,11
Saluk 5m Roy,Thankyou Duolingo,5,0,6.27.4,2025-04-28 09:44:00,thankyou duolingo,0.0,neutral,2
Sita Roat,"very nice 👍 , I like this app",5,0,6.24.2,2025-04-28 09:43:36,very nice i like this app,0.707,positive,6
Anderson Bataglini Nunes,"I paid for the most expensive plan because of the calls with Lily. But the experience is terrible, she says things that do not make sense, it seems she does not listen what I say and there are a lot of bugs. Do not pay for it!",2,1,6.27.4,2025-04-28 09:42:28,i paid for the most expensive plan because of the calls with lily but the experience is terrible she says things that do not make sense it seems she does not listen what i say and there are a lot of bugs do not pay for it,-0.5727,negative,47
MD. Sanib,i love this app very much 💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗💗,5,0,6.27.4,2025-04-28 09:40:41,i love this app very much,0.6369,positive,6
Jismol. Sαɱυҽʅ,duo is very understanding,5,0,6.27.4,2025-04-28 09:35:55,duo is very understanding,0.0,neutral,4
Abrar Abdallah,the great and useful app to learn this way easy also Adventist l love it this app help me alot,5,0,6.26.2,2025-04-28 09:34:56,the great and useful app to learn this way easy also adventist l love it this app help me alot,0.9501,positive,20
Ashok Kumar,VERY GOOD APP IN CHILDERS FREE APP,5,0,,2025-04-28 09:31:55,very good app in childers free app,0.7574,positive,7
Shaun Johnson,👍🏻,5,0,6.27.4,2025-04-28 09:30:27,,0.0,neutral,0
Dowlwtgeldiyewaman,great app english ever 👏,5,0,6.27.4,2025-04-28 09:27:32,great app english ever,0.6249,positive,4
LONA LOLA,fantactico,5,0,6.26.2,2025-04-28 09:27:18,fantactico,0.0,neutral,1
John Sullivan,"April, 2025. Finally time to end the 1000+ plus streak. I'm sure you worked hard on the last update but it's going to take me so much longer to do this every day. I'm just too busy",1,5,6.27.4,2025-04-28 09:27:02,april 2025 finally time to end the 1000 plus streak im sure you worked hard on the last update but its going to take me so much longer to do this every day im just too busy,0.1154,positive,37
Trystalyn,It's awesome! But when it comes to ads when your lesson is done. It tells me to get super every single time! But it's great!,4,0,6.27.4,2025-04-28 09:26:39,its awesome but when it comes to ads when your lesson is done it tells me to get super every single time but its great,0.9387,positive,25
Elvedh Hugo Swan,meh cool app but theres some lag,3,0,6.27.4,2025-04-28 09:26:26,meh cool app but theres some lag,-0.3818,negative,7
Shez Campbell,Highly Recommended,4,0,6.27.4,2025-04-28 09:26:08,highly recommended,0.2716,positive,2
Katana,"YES, ITS GOOD",5,0,6.27.4,2025-04-28 09:23:14,yes its good,0.6808,positive,3
Munhjin Monhjin,so good 😊,5,0,,2025-04-28 09:22:19,so good,0.4927,positive,2
Sebastian,its a very good way to learn other languages,5,0,6.27.4,2025-04-28 09:22:04,its a very good way to learn other languages,0.4927,positive,9
neeraj shah,very good app,5,0,,2025-04-28 09:21:19,very good app,0.4927,positive,3
Neil Bryant,Streaks become boring,3,0,6.27.4,2025-04-28 09:21:18,streaks become boring,-0.3182,negative,3
Namita Chawla,a very useful app and it is making me learn French very easily and very quickly Duolingo max is more affected,5,0,6.27.4,2025-04-28 09:19:22,a very useful app and it is making me learn french very easily and very quickly duolingo max is more affected,0.6115,positive,21
Taym Abdel Khalek,real good I now know a lot of Spanish bc if this I wanted Spanish cuz of the duo memes and English or Spanish still a great app ads for super are kinda bad but the thing I hate most is lives imagine a learning app with lives what if I can't learn because I have 0 hearts I will lose my streak I haven't lost it yet good app just better if you remove lives ads for super aren't that annoying anyway,5,0,6.27.4,2025-04-28 09:15:38,real good i now know a lot of spanish bc if this i wanted spanish cuz of the duo memes and english or spanish still a great app ads for super are kinda bad but the thing i hate most is lives imagine a learning app with lives what if i cant learn because i have 0 hearts i will lose my streak i havent lost it yet good app just better if you remove lives ads for super arent that annoying anyway,0.9277,positive,83
Madhu Shah,preety good,4,0,6.27.4,2025-04-28 09:13:57,preety good,0.4404,positive,2
Adrian Soto,since yesterday the app is not working,5,0,6.27.4,2025-04-28 09:13:51,since yesterday the app is not working,0.0,neutral,7
Gagan Kumar,so good,3,0,6.27.4,2025-04-28 09:13:13,so good,0.4927,positive,2
Charleen Van,Duolingo is a fun way to learn another language,5,0,6.27.4,2025-04-28 09:12:49,duolingo is a fun way to learn another language,0.5106,positive,9
Eknath Kadam,good,4,0,6.27.4,2025-04-28 09:09:38,good,0.4404,positive,1
محمد عامر رشیدی سھارنپوری,fantastic And Beautiful Learning App,5,0,6.27.4,2025-04-28 09:06:22,fantastic and beautiful learning app,0.8176,positive,5
Aditi2009,every thing is good 👍,4,0,6.27.4,2025-04-28 09:06:16,every thing is good,0.4404,positive,4
Nuria Adem,Super good for learning new languages,5,0,6.27.4,2025-04-28 09:05:39,super good for learning new languages,0.7783,positive,6
Kumaran,nice app,4,0,6.27.4,2025-04-28 09:04:56,nice app,0.4215,positive,2
ilaha Rahma,first level l studied 8 word I was learning japanese as it very easy to learn 30 words in 3 days its very good app,4,0,6.26.2,2025-04-28 09:04:45,first level l studied 8 word i was learning japanese as it very easy to learn 30 words in 3 days its very good app,0.7496,positive,25
Gowreeswari M,"i really enjoying while I'm using this app,it was so enjoyable and I improve my English and my communication skills, Thank you Duolingo ❤️",4,0,6.27.4,2025-04-28 09:03:38,i really enjoying while im using this appit was so enjoyable and i improve my english and my communication skills thank you duolingo,0.9201,positive,23
raj sharma,Awesome,5,0,6.27.4,2025-04-28 09:02:52,awesome,0.6249,positive,1
Kim Pham,fantastic app!!!!,5,0,6.27.4,2025-04-28 09:02:36,fantastic app,0.5574,positive,2
Karun Kumar,very nice and interesting to learn and I am feeling that I am playing a game world best games by playing game we can learn English in it thank you world thank you,5,0,6.27.4,2025-04-28 09:01:48,very nice and interesting to learn and i am feeling that i am playing a game world best games by playing game we can learn english in it thank you world thank you,0.9542,positive,33
Sindhu Sindhu,this is a nice app to study languages,4,0,6.27.4,2025-04-28 09:01:12,this is a nice app to study languages,0.4215,positive,8
Rekha Kumari,this app make me IPS🔥,5,0,,2025-04-28 09:00:54,this app make me ips,0.0,neutral,5
Asma Akter Tisha,very nice app.love Duolingo up I think it need to more advanced in language we learn,4,0,6.27.4,2025-04-28 08:59:29,very nice applove duolingo up i think it need to more advanced in language we learn,0.6582,positive,16
Anjolajesu Fagbohun,Good for learning a language I love the app 🥰,5,0,6.16.1,2025-04-28 08:58:30,good for learning a language i love the app,0.7964,positive,9
Muhammad Bashir,This is very good and helpful.,5,0,6.27.4,2025-04-28 08:58:11,this is very good and helpful,0.7397,positive,6
Shafiqullah Arian,"It is really interesting program, I love it",5,0,,2025-04-28 08:56:07,it is really interesting program i love it,0.8155,positive,8
Sukh Dhaliwal,ads are irritating,3,0,6.27.4,2025-04-28 08:53:17,ads are irritating,-0.4588,negative,3
Sanyam Bagrecha,must do learning a little faster,4,0,,2025-04-28 08:52:45,must do learning a little faster,0.0,neutral,6
Hara,good,3,0,6.27.4,2025-04-28 08:52:11,good,0.4404,positive,1
Reeddhiman K Mitra,"A really good app to learn new languages, fun to use and free, to say the best app for learning",5,0,5.141.7,2025-04-28 08:50:52,a really good app to learn new languages fun to use and free to say the best app for learning,0.9324,positive,20
Dr.P. Krishnaraj,good,5,0,5.147.3,2025-04-28 08:50:14,good,0.4404,positive,1
Shantinath Chougule,this is very good for learning,5,0,6.27.4,2025-04-28 08:49:50,this is very good for learning,0.4927,positive,6
8A Lochan .V,A Good App but please avoid so many Ads. if not being avoided in few days then I will withdraw my stars,5,0,6.27.4,2025-04-28 08:46:38,a good app but please avoid so many ads if not being avoided in few days then i will withdraw my stars,0.5653,positive,22
Jubaira.M,easy to learn the language,5,0,6.27.4,2025-04-28 08:46:25,easy to learn the language,0.4404,positive,5
